ownername,car_no,dealername,ownercity,model,price_in_usd
Michael Davis,BMW4217,Hendrick Automotive,Phoenix,BMW X1,75199.56
Emily Williams,BMW2242,Hendrick Automotive,San Antonio,BMW X3,79160.85
Laura Moore,BMW6919,Hendrick Automotive,San Antonio,BMW 3 Series,49902.09
Emily Jones,BMW4457,CarMax,San Jose,BMW 3 Series,40666.08
John Miller,BMW5436,Lithia Motors,San Diego,BMW X5,58588.57
Michael Davis,BMW5950,Penske Automotive,Los Angeles,BMW X5,41487.9
John Johnson,BMW9678,Group 1 Automotive,San Antonio,BMW 7 Series,79288.38
John Williams,BMW7902,Penske Automotive,Houston,BMW X1,65179.75
Katie Wilson,BMW3799,Hendrick Automotive,New York,BMW X7,57105.92
Jane Johnson,BMW2607,Lithia Motors,Phoenix,BMW X7,43801.95
David Jones,BMW5800,CarMax,Phoenix,BMW Z4,46151.81
Laura Williams,BMW8161,Sonic Automotive,New York,BMW 7 Series,90578.15
Chris Davis,BMW9597,Hendrick Automotive,Los Angeles,BMW Z4,75674.22
Laura Moore,BMW8855,Hendrick Automotive,San Antonio,BMW X7,90151.91
John Jones,BMW4735,Hendrick Automotive,Chicago,BMW X3,37048.24
Alex Davis,BMW1021,Hendrick Automotive,Chicago,BMW Z4,93925.07
David Taylor,BMW2506,Lithia Motors,Phoenix,BMW X7,93832.8
Katie Taylor,BMW4927,AutoNation,San Jose,BMW 3 Series,58197.48
Alex Taylor,BMW3755,Penske Automotive,San Diego,BMW Z4,64879.51
Alex Brown,BMW9484,Group 1 Automotive,San Antonio,BMW X5,75371.73
Michael Brown,BMW2510,Group 1 Automotive,Chicago,BMW X5,59508.65
Michael Davis,BMW5529,Sonic Automotive,Dallas,BMW 3 Series,70795.59
Sarah Johnson,BMW5077,Sonic Automotive,Dallas,BMW X1,75185.23
Jane Johnson,BMW2925,Hendrick Automotive,Philadelphia,BMW 3 Series,71506.03
Jane Moore,BMW3324,Sonic Automotive,Phoenix,BMW 7 Series,89760.31
Jane Miller,BMW5543,Sonic Automotive,Los Angeles,BMW Z4,50371.44
Sarah Jones,BMW6467,Lithia Motors,Houston,BMW X1,69466.52
Emily Smith,BMW2388,Group 1 Automotive,Phoenix,BMW Z4,71792.92
Katie Davis,BMW6375,AutoNation,San Jose,BMW 5 Series,53657.3
Jane Brown,BMW1792,AutoNation,San Diego,BMW 5 Series,77454.47
Alex Brown,BMW9355,Hendrick Automotive,Phoenix,BMW 3 Series,74555.09
Michael Williams,BMW3878,AutoNation,Chicago,BMW X7,67326.18
Alex Taylor,BMW5304,Penske Automotive,San Jose,BMW X7,93788.86
Jane Davis,BMW2139,Penske Automotive,New York,BMW 5 Series,38219.22
Katie Moore,BMW2451,Sonic Automotive,San Diego,BMW X1,86860.5
Chris Johnson,BMW5855,Hendrick Automotive,Dallas,BMW X5,65979.7
Alex Brown,BMW4495,AutoNation,Philadelphia,BMW X7,92743.33
John Wilson,BMW3551,Hendrick Automotive,Phoenix,BMW 5 Series,60040.88
David Taylor,BMW8391,Penske Automotive,San Diego,BMW 5 Series,42618.48
Emily Taylor,BMW3609,AutoNation,Phoenix,BMW X7,87671.12
Emily Davis,BMW6305,Hendrick Automotive,Philadelphia,BMW X1,67937.78
Emily Davis,BMW9507,AutoNation,Philadelphia,BMW 5 Series,73844.15
Sarah Wilson,BMW5584,AutoNation,Dallas,BMW 7 Series,36039.51
Alex Johnson,BMW8153,Penske Automotive,Phoenix,BMW 5 Series,77581.04
David Brown,BMW8728,Sonic Automotive,Chicago,BMW X7,82678.1
Chris Moore,BMW1469,Hendrick Automotive,San Antonio,BMW 7 Series,85461.23
Laura Wilson,BMW7258,Lithia Motors,Dallas,BMW X5,73236.09
John Johnson,BMW8708,Sonic Automotive,Phoenix,BMW 7 Series,36326.03
David Miller,BMW5265,Hendrick Automotive,Dallas,BMW X7,99318.36
Emily Williams,BMW7275,CarMax,Phoenix,BMW X5,55508.45
Chris Johnson,BMW8162,Hendrick Automotive,Chicago,BMW 7 Series,60565.25
Sarah Williams,BMW2223,Penske Automotive,Chicago,BMW X3,68942.32
Chris Smith,BMW6209,CarMax,San Jose,BMW X7,95831.13
Michael Wilson,BMW8459,Lithia Motors,Phoenix,BMW X7,61107.47
Katie Smith,BMW7398,Sonic Automotive,Chicago,BMW 5 Series,50487.8
Michael Miller,BMW6569,AutoNation,Philadelphia,BMW 3 Series,66928.24
Chris Smith,BMW1170,CarMax,Houston,BMW X7,90002.03
Alex Wilson,BMW1380,Hendrick Automotive,Dallas,BMW X7,77023.51
Michael Moore,BMW7599,Penske Automotive,Chicago,BMW X3,72241.63
Jane Moore,BMW9114,Group 1 Automotive,Philadelphia,BMW 5 Series,71497.37
Chris Moore,BMW3509,Sonic Automotive,San Antonio,BMW 5 Series,79134.79
Sarah Taylor,BMW5892,Penske Automotive,Chicago,BMW Z4,93254.17
David Johnson,BMW2305,Sonic Automotive,Los Angeles,BMW Z4,95292.45
Sarah Johnson,BMW4080,Sonic Automotive,San Jose,BMW X5,39948.4
John Miller,BMW3363,Sonic Automotive,New York,BMW X3,59723.36
Michael Johnson,BMW4566,AutoNation,Los Angeles,BMW 3 Series,53040.52
Jane Johnson,BMW2976,CarMax,New York,BMW X7,35809.24
Emily Moore,BMW8328,Hendrick Automotive,Houston,BMW X5,71307.55
Sarah Taylor,BMW9937,AutoNation,Dallas,BMW 5 Series,56434.47
Chris Davis,BMW9990,Hendrick Automotive,Philadelphia,BMW X5,46789.79
David Jones,BMW1443,Lithia Motors,Los Angeles,BMW X7,38943.3
Emily Moore,BMW2686,Hendrick Automotive,Chicago,BMW X5,36592.07
Emily Moore,BMW3287,Lithia Motors,San Diego,BMW X3,45015.11
Alex Brown,BMW9239,Penske Automotive,Houston,BMW 3 Series,60111.99
Laura Moore,BMW6362,Penske Automotive,New York,BMW 3 Series,45952.12
Laura Jones,BMW4947,Lithia Motors,San Jose,BMW X5,98034.22
Emily Jones,BMW5215,Penske Automotive,San Jose,BMW 5 Series,53714.19
Jane Smith,BMW7342,Lithia Motors,Phoenix,BMW X3,89429.71
Chris Moore,BMW5242,Sonic Automotive,San Diego,BMW 5 Series,44799.88
David Wilson,BMW2343,Penske Automotive,Chicago,BMW X7,51183.84
Katie Davis,BMW3775,AutoNation,Philadelphia,BMW X5,43059.15
John Miller,BMW2774,Group 1 Automotive,Dallas,BMW X1,70500.43
Sarah Brown,BMW4162,Lithia Motors,Houston,BMW X5,69961.66
David Johnson,BMW1849,Penske Automotive,Dallas,BMW 7 Series,73241.01
Laura Johnson,BMW4574,Penske Automotive,Houston,BMW Z4,92063.51
John Wilson,BMW6697,CarMax,Philadelphia,BMW X5,36202.15
John Brown,BMW9696,Lithia Motors,San Jose,BMW 5 Series,49149.25
Alex Davis,BMW8102,Sonic Automotive,Houston,BMW 5 Series,84250.34
Laura Moore,BMW9165,Lithia Motors,Chicago,BMW X1,53261.99
Sarah Taylor,BMW3425,Hendrick Automotive,New York,BMW 3 Series,43684.91
Sarah Moore,BMW2541,CarMax,Phoenix,BMW 3 Series,75896.89
Alex Jones,BMW9162,Lithia Motors,Houston,BMW 5 Series,59105.58
Sarah Johnson,BMW4901,Penske Automotive,Philadelphia,BMW 3 Series,75029.76
Michael Wilson,BMW7913,CarMax,Dallas,BMW 5 Series,41926.9
Michael Smith,BMW8012,Hendrick Automotive,Philadelphia,BMW X5,53019.72
Katie Davis,BMW9302,Sonic Automotive,Los Angeles,BMW X1,55006.04
Laura Moore,BMW4220,AutoNation,Philadelphia,BMW X3,67605.51
Emily Williams,BMW9528,Penske Automotive,Phoenix,BMW X7,43219.11
Katie Jones,BMW4645,AutoNation,Philadelphia,BMW 7 Series,55030.07
Sarah Wilson,BMW2635,Sonic Automotive,Los Angeles,BMW X7,83634.13
Alex Jones,BMW8013,AutoNation,San Antonio,BMW Z4,68285.35
Jane Taylor,BMW7602,Penske Automotive,Los Angeles,BMW X3,45664.31
David Brown,BMW8305,Lithia Motors,Los Angeles,BMW X3,92160.01
Laura Brown,BMW6811,Sonic Automotive,Dallas,BMW 3 Series,52608.37
Jane Jones,BMW7713,AutoNation,Philadelphia,BMW 7 Series,61313.1
Michael Brown,BMW9930,Sonic Automotive,Philadelphia,BMW 7 Series,81880.42
Jane Brown,BMW6981,Lithia Motors,Philadelphia,BMW 5 Series,45613.71
David Brown,BMW9003,Group 1 Automotive,Houston,BMW X5,38334.95
Katie Davis,BMW5000,Hendrick Automotive,San Diego,BMW X1,63365.46
Michael Johnson,BMW7829,Lithia Motors,San Antonio,BMW 3 Series,62558.78
Sarah Brown,BMW5795,CarMax,San Antonio,BMW 7 Series,69395.36
Emily Taylor,BMW8162,CarMax,Phoenix,BMW Z4,61557.08
Michael Miller,BMW8028,Lithia Motors,New York,BMW X1,81895.85
Emily Johnson,BMW2654,Sonic Automotive,Houston,BMW 7 Series,82260.09
Jane Moore,BMW7520,Sonic Automotive,Houston,BMW 7 Series,42163.22
David Taylor,BMW1659,Group 1 Automotive,Dallas,BMW X7,63590.52
Sarah Smith,BMW7817,Lithia Motors,Los Angeles,BMW 3 Series,58146.24
Alex Wilson,BMW6707,Penske Automotive,Houston,BMW 5 Series,74420.91
Michael Smith,BMW6449,CarMax,San Antonio,BMW Z4,74784.21
Michael Smith,BMW3181,CarMax,Dallas,BMW 5 Series,46585.4
Emily Davis,BMW6561,AutoNation,New York,BMW X7,89861.48
Katie Smith,BMW8622,Penske Automotive,San Antonio,BMW 3 Series,85181.09
David Johnson,BMW6038,Lithia Motors,San Diego,BMW 3 Series,47116.6
Chris Moore,BMW4271,Hendrick Automotive,Dallas,BMW 5 Series,39620.17
Michael Jones,BMW4523,AutoNation,Philadelphia,BMW X3,96752.7
Michael Jones,BMW4491,Group 1 Automotive,Houston,BMW X5,35050.0
Katie Davis,BMW7731,Group 1 Automotive,Dallas,BMW 3 Series,93350.49
David Williams,BMW3411,Group 1 Automotive,Phoenix,BMW 7 Series,60210.28
Alex Moore,BMW9685,Group 1 Automotive,Houston,BMW Z4,98296.25
Alex Taylor,BMW5542,AutoNation,New York,BMW 3 Series,55910.4
Michael Moore,BMW1415,Penske Automotive,Chicago,BMW X3,40128.23
Sarah Williams,BMW3545,Sonic Automotive,San Diego,BMW 7 Series,85518.82
Laura Smith,BMW1444,Lithia Motors,San Antonio,BMW 5 Series,62024.54
Katie Brown,BMW7581,Penske Automotive,Los Angeles,BMW X1,97020.3
David Smith,BMW2040,Group 1 Automotive,Chicago,BMW Z4,62371.47
Jane Jones,BMW3536,AutoNation,San Diego,BMW X1,72607.87
Laura Jones,BMW4098,Group 1 Automotive,Los Angeles,BMW 7 Series,69468.17
Alex Davis,BMW4859,CarMax,Chicago,BMW Z4,99315.94
David Wilson,BMW3809,Sonic Automotive,San Antonio,BMW X1,91676.73
Sarah Johnson,BMW5440,Penske Automotive,Los Angeles,BMW X5,92318.04
David Davis,BMW1458,Penske Automotive,New York,BMW X3,82362.16
Michael Jones,BMW4749,Sonic Automotive,New York,BMW X3,51746.25
Emily Moore,BMW1271,Penske Automotive,Phoenix,BMW X5,35577.16
Alex Johnson,BMW3039,AutoNation,Philadelphia,BMW X5,40181.01
Katie Taylor,BMW9182,Lithia Motors,San Diego,BMW X5,57074.51
Jane Jones,BMW8855,Group 1 Automotive,Houston,BMW Z4,44696.59
Emily Jones,BMW9121,Lithia Motors,Dallas,BMW 7 Series,86037.31
Sarah Taylor,BMW5577,Penske Automotive,Phoenix,BMW X1,83762.35
Laura Wilson,BMW5691,Penske Automotive,Philadelphia,BMW 3 Series,55578.86
John Williams,BMW3240,Lithia Motors,New York,BMW X7,93033.43
David Williams,BMW1386,Lithia Motors,Dallas,BMW X1,60916.25
David Brown,BMW2506,Penske Automotive,San Diego,BMW X5,54532.14
Emily Miller,BMW8070,Penske Automotive,San Diego,BMW 5 Series,65746.13
Jane Johnson,BMW3767,Lithia Motors,New York,BMW 5 Series,94631.35
Katie Brown,BMW9805,Lithia Motors,San Jose,BMW 7 Series,53470.37
Alex Miller,BMW7127,CarMax,Phoenix,BMW X1,36785.57
Emily Miller,BMW7384,CarMax,San Diego,BMW X3,74476.66
Alex Jones,BMW4259,Group 1 Automotive,San Antonio,BMW X5,38565.1
Alex Johnson,BMW4871,Lithia Motors,New York,BMW Z4,48132.16
Chris Taylor,BMW4964,Lithia Motors,Los Angeles,BMW X7,98676.34
Emily Miller,BMW2982,Penske Automotive,New York,BMW 7 Series,99646.38
Jane Moore,BMW1389,Group 1 Automotive,San Jose,BMW 5 Series,74997.58
Jane Davis,BMW2591,Hendrick Automotive,Dallas,BMW 3 Series,46318.48
Katie Williams,BMW9690,Hendrick Automotive,San Diego,BMW X7,49113.95
Katie Miller,BMW6183,Sonic Automotive,Los Angeles,BMW X5,84738.69
Alex Brown,BMW6707,Group 1 Automotive,Phoenix,BMW X5,63889.43
David Brown,BMW7966,Sonic Automotive,New York,BMW X3,56957.04
Emily Williams,BMW6102,Hendrick Automotive,New York,BMW 3 Series,95495.65
Laura Miller,BMW1590,Lithia Motors,Chicago,BMW X5,91934.19
John Moore,BMW7912,Group 1 Automotive,Houston,BMW 5 Series,83867.87
John Smith,BMW7105,Lithia Motors,New York,BMW X7,93465.05
Emily Williams,BMW8368,Lithia Motors,Chicago,BMW X5,74993.98
Jane Brown,BMW5925,Penske Automotive,Phoenix,BMW X1,68847.65
Alex Taylor,BMW5216,CarMax,Los Angeles,BMW X7,56323.16
Sarah Smith,BMW2908,Hendrick Automotive,Houston,BMW 7 Series,41582.33
Laura Davis,BMW6881,Penske Automotive,Chicago,BMW 3 Series,86250.02
Emily Davis,BMW9243,Hendrick Automotive,Los Angeles,BMW X5,51585.18
Michael Brown,BMW5626,Penske Automotive,Dallas,BMW X5,95547.08
Jane Miller,BMW9831,Penske Automotive,San Antonio,BMW 5 Series,56675.2
Alex Davis,BMW3608,Lithia Motors,Phoenix,BMW 3 Series,41423.94
Emily Davis,BMW6301,Sonic Automotive,Los Angeles,BMW X5,59032.36
Sarah Davis,BMW4126,AutoNation,San Antonio,BMW X7,78055.43
Katie Williams,BMW7756,Group 1 Automotive,Philadelphia,BMW 5 Series,47390.47
Jane Taylor,BMW2832,Hendrick Automotive,San Jose,BMW X1,96728.69
Alex Taylor,BMW9169,Penske Automotive,San Antonio,BMW X5,93626.15
Michael Davis,BMW3603,Penske Automotive,San Jose,BMW Z4,90164.88
Emily Wilson,BMW8736,Lithia Motors,San Antonio,BMW X5,58533.06
Alex Johnson,BMW1631,Sonic Automotive,Phoenix,BMW X7,43225.71
Alex Johnson,BMW1791,Lithia Motors,Philadelphia,BMW 7 Series,99068.82
Jane Smith,BMW4172,AutoNation,Dallas,BMW 5 Series,59104.07
Alex Smith,BMW8918,Penske Automotive,Chicago,BMW 5 Series,58070.61
Alex Jones,BMW5141,CarMax,Los Angeles,BMW X3,66665.88
David Williams,BMW2926,Lithia Motors,Phoenix,BMW X3,88991.89
Chris Moore,BMW9756,Lithia Motors,San Antonio,BMW X3,93894.55
David Williams,BMW9194,Group 1 Automotive,Chicago,BMW 7 Series,92235.02
Alex Davis,BMW1997,Group 1 Automotive,Los Angeles,BMW X1,68219.33
David Smith,BMW6506,Lithia Motors,San Antonio,BMW X7,57217.82
David Brown,BMW2347,Penske Automotive,Dallas,BMW X3,52660.89
Chris Brown,BMW1788,AutoNation,Phoenix,BMW Z4,69213.9
Alex Taylor,BMW7877,Sonic Automotive,San Diego,BMW Z4,44278.1
Laura Williams,BMW2648,Group 1 Automotive,Los Angeles,BMW X3,53929.89
Jane Johnson,BMW5777,Hendrick Automotive,Chicago,BMW X1,35381.55
Laura Taylor,BMW2816,Group 1 Automotive,San Antonio,BMW X5,78441.78
Sarah Brown,BMW1100,Penske Automotive,Houston,BMW 5 Series,81162.57
Katie Taylor,BMW8123,Hendrick Automotive,San Antonio,BMW X1,99445.4
Jane Williams,BMW2952,AutoNation,Chicago,BMW 7 Series,82165.46
Alex Williams,BMW8154,CarMax,New York,BMW 5 Series,77055.55
Sarah Moore,BMW3375,AutoNation,San Antonio,BMW 5 Series,77637.14
Katie Wilson,BMW2398,Hendrick Automotive,Phoenix,BMW X3,88563.89
Sarah Smith,BMW1234,Sonic Automotive,Phoenix,BMW X3,42430.74
Sarah Jones,BMW9362,Hendrick Automotive,Los Angeles,BMW 3 Series,51529.6
Emily Miller,BMW9481,Sonic Automotive,San Antonio,BMW 5 Series,84388.51
John Smith,BMW5156,Hendrick Automotive,New York,BMW 5 Series,88007.11
Jane Davis,BMW2610,Penske Automotive,Los Angeles,BMW 7 Series,82096.69
Sarah Smith,BMW6276,AutoNation,Houston,BMW 5 Series,64134.61
Sarah Johnson,BMW4063,Lithia Motors,Philadelphia,BMW X5,35336.65
David Wilson,BMW9256,Hendrick Automotive,New York,BMW 7 Series,43256.18
Jane Miller,BMW3118,Hendrick Automotive,New York,BMW X1,64330.05
Michael Smith,BMW1520,Sonic Automotive,Phoenix,BMW X1,36062.59
Katie Smith,BMW5226,Group 1 Automotive,Chicago,BMW X1,40810.17
Michael Davis,BMW8572,AutoNation,New York,BMW X7,77333.89
Katie Jones,BMW8038,AutoNation,Philadelphia,BMW X3,99375.42
Alex Miller,BMW3773,Sonic Automotive,Los Angeles,BMW X7,75716.72
Alex Williams,BMW9706,AutoNation,San Jose,BMW 3 Series,51788.76
David Wilson,BMW3619,CarMax,San Diego,BMW X7,72078.58
Jane Taylor,BMW7169,CarMax,Los Angeles,BMW X5,62202.08
John Smith,BMW5708,AutoNation,Philadelphia,BMW 5 Series,66571.47
Jane Williams,BMW4481,Lithia Motors,Dallas,BMW X1,67272.14
Sarah Williams,BMW9137,Lithia Motors,Chicago,BMW X3,50827.16
David Brown,BMW5485,AutoNation,San Jose,BMW X1,36599.08
Sarah Smith,BMW8618,Hendrick Automotive,San Jose,BMW 5 Series,45990.3
Emily Jones,BMW5753,Sonic Automotive,Houston,BMW Z4,86989.61
Laura Miller,BMW1628,Group 1 Automotive,San Diego,BMW X5,48445.54
Sarah Moore,BMW4494,Penske Automotive,Houston,BMW 7 Series,54607.73
Jane Smith,BMW3888,Group 1 Automotive,San Antonio,BMW X7,79257.45
Emily Miller,BMW2274,Penske Automotive,Los Angeles,BMW 3 Series,40661.6
John Taylor,BMW4934,AutoNation,Houston,BMW 7 Series,37230.94
John Taylor,BMW9296,Penske Automotive,Los Angeles,BMW 3 Series,39939.02
Jane Moore,BMW8199,Sonic Automotive,San Diego,BMW 7 Series,70751.92
David Brown,BMW6282,Hendrick Automotive,San Diego,BMW 5 Series,61772.95
Laura Johnson,BMW7952,CarMax,San Jose,BMW X3,90748.74
Laura Williams,BMW1016,CarMax,Chicago,BMW X1,53590.47
Emily Johnson,BMW3994,Group 1 Automotive,Houston,BMW 5 Series,97377.53
Sarah Jones,BMW6224,Sonic Automotive,San Antonio,BMW Z4,36070.49
Katie Johnson,BMW5219,AutoNation,Phoenix,BMW Z4,74325.45
Emily Williams,BMW1126,Penske Automotive,San Diego,BMW 3 Series,37711.4
Laura Smith,BMW3757,AutoNation,San Diego,BMW 7 Series,57268.82
Michael Johnson,BMW7907,AutoNation,Philadelphia,BMW 3 Series,96738.85
Jane Wilson,BMW7554,AutoNation,Philadelphia,BMW X5,57097.37
Chris Jones,BMW7891,Sonic Automotive,Chicago,BMW X3,50917.38
Sarah Taylor,BMW4980,Lithia Motors,San Diego,BMW X5,39474.83
David Johnson,BMW5454,AutoNation,New York,BMW X5,61442.74
Jane Johnson,BMW3503,AutoNation,San Antonio,BMW Z4,80346.82
Laura Davis,BMW8333,Group 1 Automotive,Philadelphia,BMW X1,36767.04
Emily Wilson,BMW7635,Hendrick Automotive,New York,BMW X5,55369.32
Michael Brown,BMW9171,Sonic Automotive,Phoenix,BMW X3,80032.16
Michael Brown,BMW9427,Lithia Motors,Philadelphia,BMW 5 Series,78013.26
Chris Davis,BMW1925,Group 1 Automotive,Dallas,BMW 7 Series,48216.51
Michael Davis,BMW6566,Penske Automotive,San Jose,BMW 3 Series,98372.68
Alex Brown,BMW8372,AutoNation,New York,BMW X7,75933.25
Emily Brown,BMW1504,CarMax,Los Angeles,BMW 3 Series,90742.2
Jane Brown,BMW9798,Sonic Automotive,Los Angeles,BMW X5,49076.03
Chris Smith,BMW7323,Group 1 Automotive,Philadelphia,BMW 7 Series,70989.9
Jane Miller,BMW5615,AutoNation,Dallas,BMW Z4,98940.28
Katie Johnson,BMW7923,Hendrick Automotive,Los Angeles,BMW 5 Series,38351.18
Chris Johnson,BMW4677,Hendrick Automotive,Chicago,BMW X7,40626.88
Alex Smith,BMW8960,Penske Automotive,Dallas,BMW 7 Series,54290.21
Jane Jones,BMW4006,Hendrick Automotive,Philadelphia,BMW 7 Series,68289.76
Katie Moore,BMW3325,Penske Automotive,Los Angeles,BMW X3,67083.11
David Davis,BMW8354,Sonic Automotive,San Antonio,BMW Z4,48363.89
Emily Miller,BMW7903,Sonic Automotive,San Jose,BMW X3,71745.28
David Miller,BMW8479,Hendrick Automotive,San Diego,BMW X7,36521.15
Katie Wilson,BMW7237,Hendrick Automotive,Dallas,BMW X1,52583.24
John Johnson,BMW5042,Lithia Motors,San Diego,BMW 5 Series,59514.28
Alex Johnson,BMW8695,Group 1 Automotive,Chicago,BMW Z4,91219.67
Jane Miller,BMW5943,Penske Automotive,Philadelphia,BMW X5,93037.16
Katie Smith,BMW3948,Hendrick Automotive,Houston,BMW 5 Series,47212.51
Michael Taylor,BMW8581,Lithia Motors,San Diego,BMW 7 Series,66263.61
Jane Jones,BMW9921,Penske Automotive,Houston,BMW 7 Series,87603.77
Katie Brown,BMW1264,Hendrick Automotive,Chicago,BMW 7 Series,93025.04
Emily Moore,BMW6882,Sonic Automotive,Dallas,BMW 5 Series,88394.25
Michael Johnson,BMW5000,CarMax,San Antonio,BMW X5,59048.27
Emily Miller,BMW2865,Hendrick Automotive,San Antonio,BMW Z4,83598.25
Emily Davis,BMW1886,Lithia Motors,San Jose,BMW X5,89463.84
Laura Davis,BMW9835,Group 1 Automotive,Philadelphia,BMW X5,41042.72
Sarah Taylor,BMW1736,Sonic Automotive,Chicago,BMW X7,71218.85
Jane Taylor,BMW3726,AutoNation,Philadelphia,BMW Z4,42004.49
David Brown,BMW9807,CarMax,San Jose,BMW 5 Series,39136.56
David Jones,BMW6396,AutoNation,Chicago,BMW X7,63123.23
Jane Smith,BMW9224,Lithia Motors,Houston,BMW Z4,90847.5
Sarah Brown,BMW8552,AutoNation,Phoenix,BMW 7 Series,98162.94
Alex Johnson,BMW5849,Sonic Automotive,New York,BMW X7,55932.62
Laura Johnson,BMW3879,Hendrick Automotive,Phoenix,BMW X1,50628.11
Jane Davis,BMW6821,Hendrick Automotive,Los Angeles,BMW X7,99927.77
John Johnson,BMW9922,Hendrick Automotive,Dallas,BMW 5 Series,43361.33
Sarah Taylor,BMW8700,Sonic Automotive,San Antonio,BMW X3,89166.21
Emily Miller,BMW2112,Penske Automotive,New York,BMW X7,37877.65
Katie Wilson,BMW4973,CarMax,Los Angeles,BMW Z4,52422.21
Sarah Jones,BMW1158,CarMax,San Antonio,BMW X3,49316.52
Katie Moore,BMW6411,Lithia Motors,Los Angeles,BMW 3 Series,54266.2
Laura Wilson,BMW3464,Lithia Motors,San Antonio,BMW X1,58466.66
Jane Moore,BMW9769,Hendrick Automotive,New York,BMW Z4,47058.62
Sarah Wilson,BMW7040,CarMax,Chicago,BMW X3,96038.9
Laura Moore,BMW4622,Hendrick Automotive,San Diego,BMW 5 Series,58629.86
Jane Taylor,BMW1757,CarMax,San Jose,BMW X7,96492.96
Laura Brown,BMW4100,Sonic Automotive,San Jose,BMW X3,84717.18
Laura Brown,BMW4420,Hendrick Automotive,Dallas,BMW 7 Series,62293.1
David Miller,BMW1441,AutoNation,New York,BMW Z4,79725.56
Sarah Smith,BMW4972,Penske Automotive,San Diego,BMW 7 Series,44426.47
Chris Miller,BMW9466,Sonic Automotive,New York,BMW X1,90161.16
Sarah Taylor,BMW2709,Hendrick Automotive,Phoenix,BMW X5,99805.85
Alex Moore,BMW3312,Hendrick Automotive,Philadelphia,BMW 5 Series,53239.07
John Smith,BMW5493,Sonic Automotive,Philadelphia,BMW 5 Series,67542.19
Sarah Smith,BMW6264,Sonic Automotive,Chicago,BMW X3,95550.85
Michael Williams,BMW8236,AutoNation,Philadelphia,BMW X7,79093.28
Jane Davis,BMW4232,Lithia Motors,San Antonio,BMW 3 Series,87232.03
Michael Williams,BMW1652,AutoNation,Dallas,BMW X5,78820.55
Jane Taylor,BMW7445,Hendrick Automotive,Houston,BMW X3,85300.81
John Johnson,BMW3042,Hendrick Automotive,Philadelphia,BMW 7 Series,83674.57
Alex Wilson,BMW1244,CarMax,Houston,BMW Z4,57593.65
Emily Johnson,BMW5161,CarMax,New York,BMW X3,53053.39
Laura Smith,BMW9454,Sonic Automotive,Philadelphia,BMW Z4,45929.85
Michael Johnson,BMW4116,Lithia Motors,San Antonio,BMW 7 Series,75283.52
Katie Williams,BMW8293,Penske Automotive,New York,BMW 5 Series,54197.28
Chris Moore,BMW5199,Sonic Automotive,San Antonio,BMW X1,61550.02
Jane Smith,BMW5436,AutoNation,Dallas,BMW Z4,94759.24
John Davis,BMW2091,Lithia Motors,Dallas,BMW Z4,47535.3
Michael Williams,BMW1847,Group 1 Automotive,Chicago,BMW 3 Series,36718.22
Emily Jones,BMW2514,Lithia Motors,San Antonio,BMW 5 Series,81918.81
Sarah Moore,BMW6287,AutoNation,Los Angeles,BMW Z4,72247.29
Chris Taylor,BMW3572,Sonic Automotive,Los Angeles,BMW X1,52901.03
Emily Davis,BMW8925,Penske Automotive,Chicago,BMW X1,42290.03
Emily Jones,BMW5188,Sonic Automotive,San Diego,BMW X7,82575.21
David Williams,BMW6053,Hendrick Automotive,Chicago,BMW X7,71710.46
Alex Jones,BMW7886,Lithia Motors,Houston,BMW 7 Series,96352.65
Alex Williams,BMW4708,Hendrick Automotive,Chicago,BMW Z4,55780.46
Jane Moore,BMW9971,Group 1 Automotive,Dallas,BMW Z4,93120.23
Alex Miller,BMW2784,Hendrick Automotive,Chicago,BMW Z4,48406.46
Chris Wilson,BMW6942,Sonic Automotive,San Antonio,BMW 7 Series,38234.1
Laura Taylor,BMW2875,Sonic Automotive,New York,BMW Z4,78152.87
David Williams,BMW8814,Penske Automotive,San Jose,BMW X3,70398.08
Jane Davis,BMW7670,CarMax,Chicago,BMW X3,51458.55
Laura Miller,BMW3819,Penske Automotive,Los Angeles,BMW 3 Series,88100.33
John Moore,BMW5343,Sonic Automotive,San Jose,BMW Z4,62835.11
John Jones,BMW5776,AutoNation,Dallas,BMW X3,60603.29
Jane Williams,BMW3616,Lithia Motors,San Antonio,BMW X1,62272.55
Emily Brown,BMW4647,Sonic Automotive,Phoenix,BMW 5 Series,41120.69
Alex Davis,BMW9018,Lithia Motors,San Antonio,BMW 7 Series,73660.89
Katie Taylor,BMW9721,CarMax,Houston,BMW 5 Series,57823.88
David Miller,BMW8305,CarMax,Phoenix,BMW X1,86650.84
Michael Williams,BMW9179,Sonic Automotive,Houston,BMW Z4,73001.83
Emily Brown,BMW2810,Penske Automotive,San Antonio,BMW 7 Series,77206.95
Michael Johnson,BMW1353,Lithia Motors,San Jose,BMW X5,59192.49
David Miller,BMW1376,Penske Automotive,Houston,BMW Z4,67593.65
Michael Davis,BMW9002,Sonic Automotive,San Diego,BMW 7 Series,51008.0
Alex Wilson,BMW3735,Group 1 Automotive,Dallas,BMW 3 Series,36993.75
John Smith,BMW4797,AutoNation,San Diego,BMW X3,94363.82
Alex Taylor,BMW1408,Sonic Automotive,Houston,BMW 5 Series,43342.72
Michael Johnson,BMW5425,Group 1 Automotive,New York,BMW 3 Series,78036.75
